iter	RMSE
0	0.9309969944
1	0.911447128
2	0.8926986459
3	0.8776620915
4	0.8631487724
5	0.8484614467
6	0.8354152372
7	0.8222276208
8	0.807896897
9	0.7972330261
10	0.78789076
11	0.7789448664
12	0.7700117843
13	0.7627548508
14	0.7551183732
15	0.7468854156
16	0.7387111469
17	0.7314294431
18	0.7249243112
19	0.7185651055
20	0.7130450377
21	0.706786989
22	0.7017682288
23	0.6965199018
24	0.690693651
25	0.6865483088
26	0.6808953335
27	0.6754365773
28	0.6709749873
29	0.6663032633
30	0.6606683351
31	0.6550045281
32	0.649119718
33	0.6441418137
34	0.6404854977
35	0.6356724283
36	0.631917966
37	0.6268075474
38	0.6229090555
39	0.6191575311
40	0.6158293276
41	0.6135415874
42	0.6105462333
43	0.6071318948
44	0.6024407032
45	0.5997109797
46	0.5967473596
47	0.5939913734
48	0.5922674358
49	0.5896768645
50	0.5870232667
51	0.5845541475
52	0.580656547
53	0.5786407739
54	0.5759388018
55	0.5733951503
56	0.5713909419
57	0.5689091124
58	0.5668311185
59	0.564864712
60	0.5623226003
61	0.5599586926
62	0.5583408297
63	0.5546424024
64	0.5517881778
65	0.550075258
66	0.5480748587
67	0.5456127084
68	0.5432564902
69	0.5415562506
70	0.5399351457
71	0.5383164996
72	0.5364063848
73	0.534884733
74	0.5335334022
75	0.5316204144
76	0.5300301349
77	0.5283792179
78	0.5267486988
79	0.5252474613
80	0.5231484959
81	0.5219102566
82	0.5207495463
83	0.5189861658
84	0.5182339636
85	0.5166877889
86	0.5154032627
87	0.5142872468
88	0.5124431252
89	0.5110390008
90	0.5092918685
91	0.5078652642
92	0.5066532354
93	0.5052110917
94	0.5038229119
95	0.50317394
96	0.502026298
97	0.5004533289
98	0.4987127378
99	0.4972748417
100	0.4959461837
101	0.4950323673
102	0.4937056321
103	0.492420193
104	0.4907629142
105	0.4896215072
106	0.4886505554
107	0.4869667389
108	0.4856322845
109	0.4847077722
110	0.4837914138
111	0.4827151554
112	0.4818234315
113	0.4807911349
114	0.4797985853
115	0.4781371963
116	0.4772516414
117	0.47612401
118	0.4751181219
119	0.4738357343
120	0.4724874853
121	0.471036278
122	0.4701753026
123	0.4690254253
124	0.4680549518
125	0.4672585849
126	0.4657048279
127	0.464577238
128	0.4638002913
129	0.4628362894
130	0.4616010974
131	0.4601630511
132	0.4592353685
133	0.4582062851
134	0.4575135697
135	0.4566796465
136	0.4560946224
137	0.4552320809
138	0.4541284645
139	0.4532751275
140	0.4524766786
141	0.4513226237
142	0.4505011251
143	0.4497437981
144	0.4489275971
145	0.4480439709
146	0.4472475955
147	0.4466238448
148	0.4456684948
149	0.4451962006
150	0.4445582852
151	0.4437864301
152	0.4431635026
153	0.4419805574
154	0.4413031241
155	0.4405896021
156	0.4398532755
157	0.4389977293
158	0.4380527663
159	0.4373695517
160	0.4364961605
161	0.435721007
162	0.4349945835
163	0.4340778475
164	0.4332648369
165	0.4327465196
166	0.4321900452
167	0.431216857
168	0.4305456583
169	0.429934987
170	0.4293446531
171	0.4288990907
172	0.4283333788
173	0.4273653104
174	0.4265815922
175	0.425546081
176	0.4248658918
177	0.4241576948
178	0.4233534881
179	0.4226822421
180	0.4216737428
181	0.4210009762
182	0.420386052
183	0.41923053
184	0.4185536779
185	0.4179001043
186	0.4169737156
187	0.4159855248
188	0.4154548358
189	0.4145675846
190	0.4140523215
191	0.4133065579
192	0.4124869418
193	0.4119788972
194	0.4113557404
195	0.4108843671
196	0.4102347273
197	0.4096055197
198	0.4090629572
199	0.4085135638
200	0.4080196547
201	0.407184272
202	0.4065575074
203	0.4059526518
204	0.4052145588
205	0.40452815
206	0.4038121133
207	0.4032331298
208	0.4028137569
209	0.4023287691
210	0.4018048207
211	0.4012997128
212	0.4005566676
213	0.4001582935
214	0.3993176991
215	0.3988056039
216	0.3979390884
217	0.397373904
218	0.3969157782
219	0.3963619635
220	0.3956968956
221	0.3951233597
222	0.3946518767
223	0.3941201692
224	0.3935605871
225	0.3929874619
226	0.3925380371
227	0.3919957726
228	0.3913831332
229	0.3907677573
230	0.3899885393
231	0.3894502218
232	0.3890445881
233	0.3885758806
234	0.3881039717
235	0.3874393705
236	0.3865628518
237	0.3860030519
238	0.3854794865
239	0.3850578064
240	0.3846953867
241	0.3841769694
242	0.38354876
243	0.3831771976
244	0.3826390051
245	0.3818364005
246	0.3815067841
247	0.3808501852
248	0.3803612626
249	0.3799671287
250	0.379648776
251	0.3790191529
252	0.3786228473
253	0.3781963827
254	0.377811456
255	0.3775205387
256	0.3767464965
257	0.3760034496
258	0.3755674861
259	0.3750091521
260	0.3746779845
261	0.3741690161
262	0.3735035761
263	0.3732259451
264	0.3728328701
265	0.3724787479
266	0.3720295665
267	0.371549625
268	0.371207409
269	0.3708245149
270	0.3704628014
271	0.3703385335
272	0.3700388377
273	0.3696228524
274	0.3695021787
275	0.3690747357
276	0.3686847581
277	0.3682473333
278	0.3676595932
279	0.3671252022
280	0.3666652172
281	0.3662274216
282	0.3658561821
283	0.3655094655
284	0.3650281456
285	0.3645162431
286	0.3640486286
287	0.363730686
288	0.3631923772
289	0.3627076922
290	0.3620589055
291	0.3618084878
292	0.3614966648
293	0.3610727397
294	0.3605540208
295	0.3601586118
296	0.3597486345
297	0.3592883911
298	0.3589293951
299	0.3584661513
300	0.3580119548
301	0.3575931353
302	0.3571488328
303	0.3566230504
304	0.356387775
305	0.3561152682
306	0.3558133173
307	0.3554284814
308	0.3550661475
309	0.3546651276
310	0.3542762174
311	0.3541806597
312	0.3539353067
313	0.3535553383
314	0.3530421537
315	0.3526654114
316	0.3524244873
317	0.352055757
318	0.3517871519
319	0.3513999365
320	0.3508410982
321	0.3505377019
322	0.3502190397
323	0.3497508014
324	0.3494039825
325	0.348972338
326	0.3486871515
327	0.348269909
328	0.3479707276
329	0.3476481189
330	0.3473388587
331	0.3467988215
332	0.346363523
333	0.3458998962
334	0.3455772829
335	0.3453981002
336	0.3451538608
337	0.3448204885
338	0.3445292591
339	0.3442327045
340	0.3439815786
341	0.3435184978
342	0.3431166365
343	0.3428086853
344	0.3425521284
345	0.3421270105
346	0.341669977
347	0.3413093016
348	0.3410712693
349	0.340636272
350	0.3402954599
351	0.3399247669
352	0.3395671841
353	0.3391904258
354	0.3388989788
355	0.3384822239
356	0.3381919681
357	0.3379174659
358	0.3376500724
359	0.3373994122
360	0.3371740455
361	0.3368607244
362	0.3366375239
363	0.3362460629
364	0.3359572847
365	0.3355526146
366	0.3353001387
367	0.3350182704
368	0.3347442161
369	0.3344594806
370	0.3341110671
371	0.3337405572
372	0.3334159218
373	0.3331925257
374	0.3328884759
375	0.3326268133
376	0.332250113
377	0.3319954786
378	0.331690356
379	0.3313537548
380	0.3311233859
381	0.3309179984
382	0.3306746005
383	0.3304827354
384	0.3302316449
385	0.3299731678
386	0.3295288279
387	0.3291614661
388	0.3289063139
389	0.3285848976
390	0.3283546849
391	0.3280933609
392	0.3277710447
393	0.327468669
394	0.3270218846
395	0.3267475583
396	0.326466193
397	0.3261700398
398	0.3259264231
399	0.3256209093
400	0.3253207651
401	0.3249604066
402	0.3246545396
403	0.3244010159
404	0.3241914289
405	0.3238176822
406	0.3234500168
407	0.3232403697
408	0.3229588316
409	0.3226917428
410	0.3224384154
411	0.3221426724
412	0.3218981974
413	0.3215149968
414	0.3212488835
415	0.3209778606
416	0.3209015343
417	0.3206111199
418	0.320323364
419	0.3200563273
420	0.3197905083
421	0.3195191201
422	0.3193422111
423	0.3191411389
424	0.3188940887
425	0.3186615171
426	0.3183691843
427	0.3181523966
428	0.317937098
429	0.3177741972
430	0.3175086059
431	0.317225669
432	0.3169761049
433	0.3166428501
434	0.3163599924
435	0.3160733278
436	0.3158362414
437	0.3152728603
438	0.3149540494
439	0.3147498458
440	0.3145151752
441	0.3142224795
442	0.3140264262
443	0.3136669948
444	0.3135354066
445	0.3132695084
446	0.313056206
447	0.3128265391
448	0.3126018911
449	0.3124327959
450	0.3122298577
451	0.3120151704
452	0.3118347672
453	0.3115660216
454	0.3112872417
455	0.3110812546
456	0.3106833825
457	0.310502986
458	0.310311392
459	0.3100153028
460	0.3098494418
461	0.3096388341
462	0.3094575934
463	0.3093128012
464	0.3090841744
465	0.3088844207
466	0.3087258646
467	0.3086678314
468	0.3084736008
469	0.3082443817
470	0.3080481872
471	0.3076991184
472	0.3074218048
473	0.3072421662
474	0.3069950514
475	0.3068079825
476	0.3066559945
477	0.3064407703
478	0.3062712207
479	0.3060576742
480	0.3059010758
481	0.3056550761
482	0.3053500861
483	0.3052080453
484	0.3050060926
485	0.304758161
486	0.3044598416
487	0.3043361657
488	0.3041329538
489	0.3038253427
490	0.3036226418
491	0.3033906376
492	0.3031890795
493	0.3029383804
494	0.3026163405
495	0.302345117
496	0.302123139
497	0.3019366006
498	0.3016751954
499	0.3016297215
500	0.3014406872
501	0.3012020144
502	0.3009468848
503	0.3007898044
504	0.3006461847
505	0.300439915
506	0.3001585007
507	0.2999176916
508	0.299808767
509	0.2996308288
510	0.2993962325
511	0.2991838862
512	0.299064508
513	0.2988288057
514	0.2987871732
515	0.2985463973
516	0.2983366154
517	0.2981910757
518	0.2979546495
519	0.2977950072
520	0.2976434416
521	0.297489767
522	0.2972797577
523	0.2970399573
524	0.2968674708
525	0.2966587361
526	0.2963898993
527	0.296127201
528	0.2960135823
529	0.2958196765
530	0.2956782902
531	0.2955193815
532	0.2953284679
533	0.2951951885
534	0.2949883402
535	0.2947558255
536	0.2945735121
537	0.2944126703
538	0.2941831006
539	0.2941377661
540	0.2939785046
541	0.2937570544
542	0.2935849333
543	0.2934314996
544	0.2932034698
545	0.2930429973
546	0.29283009
547	0.292621636
548	0.2923226016
549	0.2921318718
550	0.2919275633
551	0.2917222642
552	0.2916676458
553	0.2914591946
554	0.2912966662
555	0.2912583394
556	0.2910058434
557	0.2908599437
558	0.2905819904
