iter	Passed	Remaining
0	2	2466
1	4	2405
2	8	2678
3	10	2520
4	12	2448
5	14	2377
6	16	2324
7	18	2302
8	22	2432
9	24	2450
10	27	2448
11	29	2435
12	31	2406
13	33	2382
14	36	2378
15	39	2415
16	41	2391
17	43	2357
18	45	2330
19	46	2298
20	48	2267
21	50	2248
22	53	2285
23	55	2273
24	57	2261
25	60	2248
26	61	2232
27	63	2208
28	65	2196
29	67	2192
30	70	2210
31	72	2204
32	74	2194
33	76	2181
34	78	2165
35	80	2155
36	82	2142
37	86	2187
38	88	2183
39	90	2175
40	92	2173
41	95	2167
42	96	2156
43	99	2151
44	101	2161
45	103	2151
46	105	2139
47	107	2127
48	109	2116
49	110	2104
50	112	2092
51	114	2084
52	117	2095
53	119	2091
54	121	2082
55	123	2076
56	125	2071
57	127	2065
58	128	2057
59	130	2049
60	133	2055
61	135	2047
62	137	2040
63	139	2033
64	140	2027
65	142	2018
66	144	2012
67	146	2006
68	149	2012
69	150	2005
70	153	2003
71	155	1997
72	156	1991
73	158	1986
74	160	1980
75	162	1977
76	165	1983
77	167	1982
78	170	1989
79	172	1988
80	174	1982
81	176	1979
82	179	1980
83	181	1982
84	183	1976
85	185	1970
86	187	1964
87	188	1957
88	190	1952
89	192	1947
90	195	1953
91	198	1954
92	200	1951
93	202	1947
94	204	1944
95	206	1941
96	208	1936
97	211	1947
98	213	1947
99	216	1944
100	218	1940
101	219	1936
102	221	1932
103	223	1928
104	227	1938
105	229	1937
106	232	1936
107	233	1931
108	235	1926
109	237	1921
110	239	1916
111	241	1913
112	244	1915
113	245	1911
114	247	1906
115	249	1900
116	251	1895
117	252	1890
118	254	1885
119	256	1881
120	259	1888
121	262	1886
122	264	1884
123	266	1883
124	268	1881
125	270	1879
126	273	1882
127	276	1884
128	279	1886
129	282	1887
130	284	1889
131	288	1894
132	291	1898
133	293	1895
134	295	1892
135	297	1888
136	299	1884
137	301	1882
138	305	1890
139	307	1890
140	310	1891
141	312	1890
142	315	1891
143	320	1904
144	323	1905
145	325	1904
146	327	1901
147	330	1902
148	333	1905
149	337	1912
150	339	1911
151	342	1910
152	344	1907
153	347	1910
154	351	1916
155	353	1914
156	356	1911
157	358	1910
158	360	1906
159	362	1903
160	364	1901
161	367	1901
162	369	1899
163	371	1895
164	373	1891
165	375	1888
166	377	1885
167	379	1881
168	382	1882
169	384	1879
170	387	1877
171	389	1873
172	391	1869
173	393	1867
174	395	1864
175	398	1867
176	401	1865
177	403	1861
178	405	1857
179	407	1855
180	409	1852
181	411	1848
182	414	1851
183	416	1847
184	418	1843
185	420	1839
186	422	1835
187	424	1832
188	426	1828
189	428	1825
190	431	1826
191	433	1823
192	435	1819
193	436	1815
194	439	1813
195	441	1810
196	443	1807
197	446	1808
198	448	1805
199	450	1801
200	452	1797
201	454	1794
202	456	1790
203	458	1787
204	460	1784
205	462	1783
206	464	1781
207	466	1777
208	468	1774
209	470	1770
210	472	1767
211	474	1764
212	477	1764
213	479	1761
214	481	1757
215	483	1754
216	485	1751
217	487	1748
218	489	1744
219	491	1741
220	494	1741
221	495	1738
222	497	1734
223	500	1734
224	502	1731
225	504	1728
226	506	1724
227	509	1724
228	511	1721
229	513	1717
230	514	1714
231	516	1710
232	518	1706
233	520	1702
234	521	1699
235	525	1700
236	527	1697
237	529	1695
238	531	1691
239	532	1687
240	534	1683
241	536	1680
242	538	1676
243	540	1675
244	542	1672
245	544	1669
246	546	1667
247	549	1664
248	550	1661
249	552	1658
250	555	1656
251	557	1655
252	559	1653
253	562	1650
254	564	1648
255	566	1646
256	568	1644
257	572	1646
258	574	1644
259	577	1642
260	579	1640
261	581	1638
262	584	1636
263	587	1638
264	591	1639
265	594	1639
266	597	1639
267	599	1636
268	601	1633
269	604	1635
270	607	1633
271	609	1630
272	610	1626
273	612	1623
274	614	1619
275	616	1615
276	618	1613
277	620	1612
278	622	1609
279	624	1605
280	626	1602
281	628	1598
282	629	1595
283	631	1592
284	633	1588
285	636	1587
286	638	1585
287	640	1582
288	641	1579
289	643	1576
290	645	1572
291	647	1569
292	648	1565
293	651	1565
294	653	1562
295	655	1559
296	657	1555
297	658	1552
298	660	1548
299	662	1545
300	664	1542
301	667	1541
302	669	1538
303	670	1535
304	672	1532
305	674	1528
306	675	1525
307	677	1522
308	679	1519
309	681	1516
310	684	1515
311	685	1512
312	688	1510
313	690	1507
314	692	1505
315	694	1503
316	696	1500
317	699	1501
318	702	1498
319	704	1497
320	706	1494
321	708	1490
322	709	1487
323	711	1484
324	713	1482
325	716	1480
326	717	1477
327	719	1474
328	721	1471
329	723	1468
330	724	1465
331	726	1462
332	728	1459
333	731	1458
334	733	1455
335	734	1452
336	736	1449
337	738	1446
338	740	1442
339	741	1439
340	743	1436
341	745	1434
342	748	1433
343	750	1430
344	752	1427
345	753	1425
346	755	1422
347	757	1419
348	759	1416
349	761	1414
350	763	1411
351	765	1409
352	767	1406
353	768	1403
354	770	1400
355	773	1398
356	775	1395
357	777	1393
358	779	1391
359	781	1388
360	782	1385
361	784	1382
362	786	1379
363	788	1377
364	790	1374
365	791	1371
366	794	1370
367	796	1368
368	798	1365
369	800	1362
370	801	1359
371	803	1356
372	805	1353
373	807	1350
374	809	1348
375	811	1347
376	813	1344
377	815	1341
378	817	1338
379	818	1336
380	820	1333
381	822	1330
382	823	1327
383	826	1326
384	828	1323
385	830	1320
386	832	1318
387	833	1315
388	835	1312
389	837	1309
390	839	1307
391	841	1305
392	843	1303
393	845	1300
394	847	1297
395	849	1295
396	850	1292
397	852	1289
398	854	1286
399	856	1284
400	859	1283
401	861	1280
402	862	1278
403	864	1275
404	866	1272
405	868	1270
406	870	1267
407	871	1265
408	874	1263
409	875	1260
410	877	1257
411	879	1255
412	881	1253
413	883	1250
414	885	1248
415	887	1245
416	889	1244
417	891	1241
418	893	1239
419	895	1236
420	897	1234
421	899	1231
422	901	1229
423	902	1226
424	906	1226
425	909	1225
426	911	1223
427	913	1220
428	915	1218
429	917	1215
430	919	1213
431	923	1213
432	926	1212
433	928	1210
434	930	1208
435	932	1205
436	934	1203
437	938	1203
438	940	1202
439	942	1200
440	944	1197
441	946	1195
442	948	1192
443	950	1190
444	955	1191
445	957	1189
446	959	1187
447	961	1185
448	963	1182
449	966	1180
450	970	1180
451	972	1179
452	974	1176
453	976	1174
454	978	1171
455	980	1169
456	983	1168
457	986	1167
458	988	1165
459	990	1163
460	992	1160
461	994	1158
462	996	1155
463	1000	1156
464	1003	1153
465	1005	1151
466	1006	1149
467	1008	1146
468	1010	1144
469	1012	1142
470	1016	1141
471	1018	1139
472	1021	1137
473	1022	1135
474	1024	1132
475	1026	1130
476	1028	1128
477	1032	1127
478	1034	1125
479	1037	1123
480	1039	1121
481	1040	1118
482	1042	1116
483	1046	1115
484	1048	1113
485	1051	1111
486	1053	1109
487	1055	1107
488	1057	1104
489	1059	1102
490	1063	1101
491	1065	1100
492	1067	1097
493	1069	1095
494	1071	1093
495	1073	1090
496	1075	1088
497	1079	1088
498	1081	1086
499	1083	1083
500	1085	1081
501	1087	1078
502	1089	1076
503	1092	1074
504	1094	1073
505	1097	1071
506	1098	1068
507	1100	1066
508	1102	1063
509	1104	1061
510	1106	1058
511	1108	1056
512	1110	1054
513	1112	1051
514	1114	1049
